"Model","Scenario","Region","Variable","Unit","2005","2010","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"MESSAGE-GLOBIOM 1.0","SSP2-19","World","Land Cover|Cropland","million ha",1536.067288,1546.158999,1614.22415,1681.637147,1726.221587,1762.611429,1803.229969,1866.411216,1909.303812,1934.25926,1942.57172
"MESSAGE-GLOBIOM 1.0","SSP2-19","World","Land Cover|Cropland|Energy Crops","million ha",0,0,58.01809134,107.7070618,181.1493568,283.3975817,406.7267513,524.4513771,621.1839798,693.1915138,749.6731408
"MESSAGE-GLOBIOM 1.0","SSP2-19","World","Land Cover|Forest","million ha",3917.438299,3893.268371,3906.224451,3955.32407,4059.170825,4192.742115,4319.579675,4415.692247,4488.395022,4552.235857,4611.184424
"MESSAGE-GLOBIOM 1.0","SSP2-19","World","Land Cover|Pasture","million ha",3425.59039,3417.410605,3376.288996,3362.921322,3159.681678,2950.880288,2746.2141,2584.527915,2435.677281,2328.946217,2242.800073
"MESSAGE-GLOBIOM 1.0","SSP2-19","World","Land Cover|Other Natural Land","million ha",3597.491354,3619.749356,3579.849734,3476.704793,3531.513242,3570.353498,3607.563586,3609.955953,3643.211217,3661.145997,3680.031114
"MESSAGE-GLOBIOM 1.0","SSP2-Baseline","World","Land Cover|Cropland","million ha",1536.067288,1546.158999,1618.38537,1661.771349,1705.361127,1754.910857,1808.53331,1856.685411,1893.923926,1921.878865,1940.400071
"MESSAGE-GLOBIOM 1.0","SSP2-Baseline","World","Land Cover|Cropland|Energy Crops","million ha",0,0,57.8850183,63.77512729,66.30706233,74.74225571,98.52307564,130.6317731,158.7229577,183.4834616,204.6876727
"MESSAGE-GLOBIOM 1.0","SSP2-Baseline","World","Land Cover|Forest","million ha",3917.438299,3893.268371,3873.861214,3856.649595,3842.763098,3834.530283,3835.729308,3841.262255,3845.127791,3852.580351,3877.160282
"MESSAGE-GLOBIOM 1.0","SSP2-Baseline","World","Land Cover|Pasture","million ha",3425.59039,3417.410605,3419.177772,3453.219456,3497.500482,3530.819206,3558.140383,3580.904433,3601.74766,3621.215839,3629.87361
"MESSAGE-GLOBIOM 1.0","SSP2-Baseline","World","Land Cover|Other Natural Land","million ha",3597.491354,3619.749356,3565.162974,3504.946931,3430.962624,3356.326985,3274.184329,3197.735232,3135.787954,3080.912276,3029.153368
"© IAMC 1.5°C Scenario Explorer hosted by IIASA https://data.ene.iiasa.ac.at/iamc-1.5c-explorer"