variable,group,name,model,url,scenario,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Population,0,Population,WDI,http://datatopics.worldbank.org/world-development-indicators/,historical,million people,3013.884,3054.6156,3107.2736,3172.0728,3237.2774,3303.9083,3373.6811,3443.1321,3513.3574,3587.7583,3662.9311,3740.176,3816.6738,3892.2936,3968.5708,4043.0819,4115.5784,4187.8302,4261.2976,4336.6066,4412.6854,4490.747,4571.7333,4653.4539,4734.9026,4817.884,4903.3691,4990.9898,5079.5239,5168.2052,5265.8587,5352.9951,5436.9726,5521.8663,5605.6248,5690.3533,5772.9873,5855.5682,5937.2174,6017.8989,6097.6495,6177.1482,6256.2137,6335.4811,6415.3208,6495.7089,6576.7781,6658.4164,6741.394,6824.5708,6907.7965,6989.8525,7069.7681,7155.1562,7241.2,7327.2849,7413.714,7499.7433
Income,0,Income,James,http://pophealthmetrics.biomedcentral.com/articles/10.1186/1478-7954-10-12,historical,US$05 PPP/cap/yr,3760.9735,3868.2819,3984.1667,4071.5172,4259.1221,4394.3159,4523.9769,4605.7642,4768.2622,4912.4704,5037.4466,5139.3307,5284.4474,5507.6571,5543.1373,5522.0866,5698.5682,5813.5601,5948.3914,6050.0166,6048.4783,6046.3242,5988.0392,6038.4474,6190.3423,6295.7344,6397.4488,6503.8563,6662.3438,6771.601,6831.867,6805.6122,6789.5666,6802.2254,6909.0506,7028.3733,7181.4909,7357.1321,7429.9492,7592.3363,7839.0034,7910.243,8022.3669,8200.1168,8502.9234,8817.7249,9160.9138,9528.1657,9686.7725,9511.9799,9824.1342,10097.0673,10418.2045,10745.6583,11087.5498,11444.3687,,
Nutrition|Calorie Supply|+|Crops,1,Calorie Supply from Crops per Capita,FAOSTAT,http://www.fao.org/faostat/en/,historical,,,1497.2918,1527.4332,1527.7262,1551.5046,1560.1109,1568.6842,1564.5947,1556.9214,1560.5437,1595.5637,1566.3251,1552.6697,1588.039,1568.8242,1589.6787,1562.9,1583.0662,1624.1878,1611.4448,1611.1841,1623.8296,1646.1964,1685.2042,1678.4927,1668.3346,1669.0108,1678.5843,1685.0713,1690.6404,1670.0818,1661.7496,1675.4439,1685.6614,1693.8957,1701.668,1712.6667,1713.3031,1726.1598,1738.025,1739.6011,1733.9332,1727.217,1724.1899,1730.8974,1734.839,1735.7906,1747.8236,1761.482,1757.4116,1779.662,1788.6273,,,,,,
Nutrition|Calorie Supply|+|Livestock products,1,Calorie Supply from Livestock Products per Capita,FAOSTAT,http://www.fao.org/faostat/en/,historical,,,318.9066,323.5819,331.1298,331.9232,334.0871,338.1636,342.2724,347.0925,343.4334,343.1,346.6004,348.1226,341.6272,346.838,345.6554,348.7948,348.4839,354.6157,361.9516,364.8881,363.3031,361.3426,367.2041,371.8685,380.5066,377.9106,379.9468,383.6057,384.7261,384.9224,381.8344,382.702,383.8945,391.32,396.543,395.8486,398.6154,407.7821,413.5869,417.9524,415.9662,423.1993,428.9312,431.9022,436.7193,444.4547,453.053,456.855,461.0187,467.7846,469.4479,,,,,,
Nutrition|Calorie Supply|+|Secondary products,1,Calorie Supply from Secondary Products per Capita,FAOSTAT,http://www.fao.org/faostat/en/,historical,,,355.6083,363.8222,369.5329,381.9719,393.2976,398.2608,399.3709,404.0286,414.0978,424.9156,428.1638,427.12,434.9839,440.7804,436.9084,451.3958,459.0207,471.707,477.1488,485.5279,487.6082,498.277,496.7114,506.0394,507.4291,509.8968,514.138,518.4208,521.201,523.8616,515.873,512.8393,504.9613,511.314,522.3127,524.7427,535.9565,531.9707,530.0831,537.4086,544.3129,547.6925,550.2134,554.5817,561.6601,566.4578,573.7235,573.3523,575.5608,573.4081,580.2129,,,,,,
Nutrition|Calorie Supply|+|Fish,1,Calorie Supply from Fish per Capita,FAOSTAT,http://www.fao.org/faostat/en/,historical,,,17.7845,18.4507,18.9094,18.698,19.8956,20.1126,19.8098,20.8114,20.8065,21.6839,21.6151,21.8564,22.8347,22.801,22.8771,23.4918,23.3789,23.5126,23.2574,23.8516,24.5421,24.7178,24.8298,25.4191,26.0384,26.525,27.142,26.6277,27.2339,26.9068,25.6639,24.2244,24.6365,26.1136,27.4294,28.5033,28.1473,28.531,28.7658,29.3098,29.3247,29.4455,29.5393,30.4475,30.7857,31.4246,32.6182,33.5966,33.3652,33.9005,33.8445,,,,,,
Demand|Food|+|Crops,2,Demand for Crops,FAOSTAT,http://www.fao.org/faostat/en/,historical,Mt DM/yr,,,,,,635.468,,,,,721.2096,,,,,792.5327,,,,,875.3519,,,,,993.9918,,,,,1093.4128,,,,,1207.2278,,,,,1324.5695,,,,,1407.1408,,,,,1534.8004,,,,,,,
Demand|Food|+|Livestock products,2,Demand for Livestock Products,FAOSTAT,http://www.fao.org/faostat/en/,historical,Mt DM/yr,,,,,,75.5095,,,,,87.8,,,,,98.9156,,,,,114.1826,,,,,128.7794,,,,,143.7471,,,,,159.9886,,,,,179.873,,,,,199.8811,,,,,227.0047,,,,,,,
Demand|Food|+|Secondary products,2,Demand for Secondary Products,FAOSTAT,http://www.fao.org/faostat/en/,historical,Mt DM/yr,,,,,,94.7828,,,,,113.9759,,,,,129.1749,,,,,157.9305,,,,,180.4854,,,,,200.348,,,,,214.7465,,,,,235.1873,,,,,251.2952,,,,,268.1756,,,,,,,
Demand|Food|+|Fish,2,Demand for Fish,FAOSTAT,http://www.fao.org/faostat/en/,historical,Mt DM/yr,,,,,,8.7945,,,,,10.6076,,,,,12.5602,,,,,13.5042,,,,,16.1763,,,,,18.9818,,,,,22.8542,,,,,25.7107,,,,,29.2057,,,,,34.2693,,,,,,,
Demand|+|Feed,2,Demand for Feed,FAOSTAT,http://www.fao.org/faostat/en/,historical,Mt DM/yr,,,,,,4673.9639,,,,,5016.0724,,,,,5284.9988,,,,,5556.4249,,,,,6116.8435,,,,,6261.0567,,,,,6520.5376,,,,,6897.3256,,,,,7452.2456,,,,,7866.4321,,,,,,,
Demand|+|Agricultural Supply Chain Loss,2,Demand for Agricultural Supply Chain Loss,FAOSTAT,http://www.fao.org/faostat/en/,historical,Mt DM/yr,,,,,,66.8345,,,,,82.5768,,,,,84.6027,,,,,103.6506,,,,,113.4943,,,,,136.62,,,,,135.8274,,,,,151.7356,,,,,146.0459,,,,,185.8905,,,,,,,
Prices|Agriculture|Temperate cereals,3,Prices for Temperate cereals,WBGEM,https://datacatalog.worldbank.org/dataset/global-economic-monitor,historical,US$05/tDM,183.927,183.0324,193.4042,198.8821,205.1617,187.2793,191.9078,192.9809,186.4505,169.4477,154.8288,157.7587,160.4863,273.2195,300.7535,232.4578,199.3108,145.6602,149.1186,233.2884,233.5333,231.5694,206.1547,216.6122,222.1386,207.7179,160.5706,137.2378,166.9717,190.2659,151.218,145.0905,165.17,155.9096,166.8333,178.0438,206.4251,169.0438,147.5502,134.925,137.254,156.4729,185.655,177.772,172.3164,165.3148,190.029,252.8759,304.1334,217.1239,230.7065,280.9949,192.3417,180.0292,154.4497,154.7609,133.5444,
Prices|Agriculture|Rice,3,Prices for Rice,WBGEM,https://datacatalog.worldbank.org/dataset/global-economic-monitor,historical,US$05/tDM,141.3275,153.6117,171.0511,162.2813,153.0167,149.8454,176.6514,228.3816,222.5298,194.4287,137.1207,115.1337,122.4946,236.282,346.268,205.8382,139.7673,138.964,163.8747,133.054,158.7055,177.1451,108.3917,104.9374,97.1442,83.1492,144.8645,187.4387,156.4147,163.8532,130.173,219.0438,203.7064,173.8303,204.6153,241.6809,239.7139,226.1349,238.3175,205.553,164.3011,151.3896,172.1677,168.0165,265.1473,221.1062,224.6242,239.0656,277.5366,349.9388,439.3335,459.0039,472.5806,423.8298,381.9921,386.3198,408.0283,
Prices|Agriculture|Poultry meat,3,Prices for Poultry meat,WBGEM,https://datacatalog.worldbank.org/dataset/global-economic-monitor,historical,US$05/tDM,3395.2489,3465.2703,3481.1238,3640.0381,3694.8845,3796.3464,3801.2864,3856.5478,4013.2334,3975.8791,3917.6444,3903.3223,3842.9706,3709.4985,3215.5329,3007.8743,3123.2107,3085.6857,2831.5264,2704.4573,2513.7485,2566.6907,2597.0681,2710.584,3137.1967,3040.3454,2919.4828,2614.7017,2710.9393,2990.0713,2834.4803,2792.0118,2744.3121,3023.9219,3152.2916,2881.7219,3299.2381,3388.8112,3669.3994,3552.2941,3567.4577,3966.9124,3979.343,3970.4037,4251.2599,4023.1441,3675.1462,3911.2556,3928.3803,4238.0152,4097.8303,3758.8722,4085.8026,4518.1444,4866.6281,5607.7914,5678.1615,
Prices|Agriculture|Ruminant meat,3,Prices for Ruminant meat,WBGEM,https://datacatalog.worldbank.org/dataset/global-economic-monitor,historical,US$05/tDM,4145.5762,3765.103,3870.5204,3678.9281,4578.5113,4754.5635,5317.4924,5368.0073,5644.4339,6037.2214,6053.5478,9455.6326,10309.6519,11867.281,8604.1933,7228.9395,8013.1002,7554.227,8781.3325,9548.2388,9315.7626,8601.6197,8106.3681,7636.0477,7492.2664,7218.4792,6663.0605,6514.2271,6627.519,6616.3586,6802.9033,6569.6661,6593.034,6895.8416,6830.465,5307.4758,6070.0071,6581.9463,5869.0042,5953.7963,6162.6985,7092.9536,7699.3388,7934.9345,9011.622,8667.5953,7887.6024,7590.1206,8091.8812,7721.5753,9336.9205,10361.837,10006.22,9080.0255,11308.5172,10643.9562,9909.425,
Prices|Agriculture|Fish,3,Prices for Fish,WBGEM,https://datacatalog.worldbank.org/dataset/global-economic-monitor,historical,US$05/tDM,,,,,,,,,,,,,,,,,,,,,2547.6127,2358.3446,1835.0382,2417.374,2038.0395,1545.7871,1538.3058,1678.9016,2238.5881,1689.4924,1642.3251,1921.6524,1900.8691,1391.9298,1480.603,1773.9509,2140.8625,2324.306,2653.5771,1604.3445,1710.0307,2093.5365,2637.3165,2526.7911,2512.8135,2745.4795,4272.5117,4063.7938,3629.7116,4201.2954,5558.9194,4563.5112,4658.6389,5245.498,5211.1103,5256.4936,5275.0132,
Household Expenditure|Food|Expenditure Share|Crops,4,Household Expenditure Share for Crops,Based on FAO,https://github.com/pik-piam/mrvalidation,,USD/USD,,,,,,0.0452,,,,,0.0403,,,,,0.0372,,,,,0.0343,,,,,0.0351,,,,,0.0334,,,,,0.0355,,,,,0.037,,,,,0.0349,,,,,0.0335,,,,,,,
Household Expenditure|Food|Expenditure Share|Livestock products,4,Household Expenditure Share for Livestock Products,Based on FAO,https://github.com/pik-piam/mrvalidation,,USD/USD,,,,,,0.0286,,,,,0.0261,,,,,0.0242,,,,,0.0231,,,,,0.0228,,,,,0.0213,,,,,0.021,,,,,0.0195,,,,,0.018,,,,,0.0171,,,,,,,
Resources|Land Cover|+|Cropland,5,Cropland,Based on LUH2 and FAO,,historical,million ha,,,,,,1376.0732,,,,,1404.4318,,,,,1419.3558,,,,,1434.2798,,,,,1465.433,,,,,1496.5861,,,,,1492.7762,,,,,1488.9662,,,,,1505.6462,,,,,1510.1333,,,,,,,
Resources|Land Cover|+|Pastures and Rangelands,5,Pastures and Rangelands,Based on LUH2 and FAO,,historical,million ha,,,,,,3003.814,,,,,3025.32,,,,,3067.5727,,,,,3109.8254,,,,,3175.7483,,,,,3241.6712,,,,,3267.4162,,,,,3293.1613,,,,,3270.8948,,,,,3280.8225,,,,,,,
Resources|Land Cover|Forest|+|Natural Forest,5,Natural Forest,Based on LUH2 and FAO,,historical,million ha,,,,,,3893.92,,,,,3893.5254,,,,,3893.2829,,,,,3891.4228,,,,,3890.5011,,,,,3889.2651,,,,,3853.4992,,,,,3813.4881,,,,,3762.1715,,,,,3720.6885,,,,,,,
Resources|Land Cover|Forest|+|Managed Forest,5,Managed Forest,Based on LUH2 and FAO,,historical,million ha,,,,,,191.735,,,,,191.7371,,,,,191.7355,,,,,191.6688,,,,,191.7119,,,,,191.7012,,,,,208.5342,,,,,225.1903,,,,,253.4355,,,,,276.8733,,,,,,,
Resources|Land Cover|+|Other Land,5,Other Land,Based on LUH2 and FAO,,historical,million ha,,,,,,4316.5628,,,,,4264.7298,,,,,4205.5738,,,,,4148.1005,,,,,4048.949,,,,,3950.1658,,,,,3943.6189,,,,,3941.4941,,,,,3966.2478,,,,,3965.5871,,,,,,,
Resources|Land Cover|+|Urban Area,5,Urban Area,Based on LUH2 and FAO,,historical,million ha,,,,,,23.025,,,,,25.3859,,,,,27.6094,,,,,29.8329,,,,,32.7868,,,,,35.7407,,,,,39.2854,,,,,42.8301,,,,,46.7343,,,,,51.0254,,,,,,,
Productivity|Yield|+|Crops,6,Crop Yield,FAOSTAT,http://www.fao.org/faostat/en/,historical,t DM/ha,,,,,,1.1295,,,,,1.2976,,,,,1.441,,,,,1.6021,,,,,1.9734,,,,,2.1054,,,,,2.1291,,,,,2.3325,,,,,2.5355,,,,,2.8647,,,,,,,
Productivity|Yield|+|Pasture,6,Pasture Yield,FAOSTAT,http://www.fao.org/faostat/en/,historical,t DM/ha,,,,,,1.1313,,,,,1.1595,,,,,1.1864,,,,,1.1934,,,,,1.1842,,,,,1.1856,,,,,1.2231,,,,,1.2989,,,,,1.4181,,,,,1.498,,,,,,,
Productivity|Yield|+|Forage,6,Forage Yield,FAOSTAT,http://www.fao.org/faostat/en/,historical,t DM/ha,,,,,,1.5495,,,,,1.7917,,,,,2.0949,,,,,2.5111,,,,,4.0543,,,,,3.6545,,,,,2.9789,,,,,3.1667,,,,,3.4597,,,,,3.2336,,,,,,,
Resources|Land Cover|Cropland|Area actually irrigated,7,Irrigated Cropland,LUH2,https://luh.umd.edu/,historical,million ha,,,,,,109.9555,,,,,116.7646,,,,,127.5019,,,,,138.2392,,,,,149.4157,,,,,160.5922,,,,,170.4036,,,,,180.215,,,,,194.0718,,,,,200.1833,,,,,,,
Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer,7,Nitrogen Input from Fertilization,Lassaletta2014,https://iopscience.iop.org/article/10.1088/1748-9326/9/10/105011/meta,historical,Mt Nr/yr,,11.5787,13.0695,14.6254,16.2631,18.782,21.7453,23.6368,25.5539,27.6374,30.7314,32.3273,34.7635,37.5939,36.6591,42.3147,42.9645,46.5465,51.3589,54.0492,57.3137,56.8422,57.3144,62.74,66.1624,65.4268,67.1597,70.2739,73.639,72.8962,71.428,69.9916,68.2491,66.911,66.8122,72.3758,76.2888,74.8747,76.2145,78.05,74.4934,75.6724,80.9021,83.3488,82.4853,84.0139,88.1497,92.2139,91.5045,97.1719,,,,,,,,
Emissions|CH4|Land|+|Agriculture,8,AFOLU CH₄ Emissions,PRIMAPhist,https://doi.org/10.5880/PIK.2017.001,historical,Mt CH4/yr,100.5465,101.6016,103.4292,104.5296,106.3146,107.8329,109.9442,111.81729999999999,113.3224,113.9918,118.0886,113.64869999999999,120.8235,119.7656,118.5252,121.6785,124.1816,127.9541,126.1455,129.6902,131.7334,129.8115,145.48919999999998,137.1701,129.3382,129.7873,134.3708,142.577,132.053,134.18619999999999,136.0457,136.3505,135.9977,135.49699999999999,136.5292,138.9088,138.7442,139.6808,141.532,140.6549,140.1798,139.2687,145.566,145.9838,151.613,152.838,154.49110000000002,151.28279999999998,151.16140000000001,152.6116,150.25300000000001,150.5124,150.5684,149.7753,152.68099999999998,155.1078,,
Emissions|CO2|Land|+|Agriculture,8,AFOLU CO₂ Emissions,PRIMAPhist,https://doi.org/10.5880/PIK.2017.001,historical,Mt CO2/yr,5116.5176,5394.4726,5388.7282000000005,5442.6123,5492.7639,5551.7031,5683.7929,5711.6451,5454.562400000001,5476.1788,5321.2638,4783.8378,4686.903499999999,4634.6964,4646.9503,4620.9999,4866.9172,4880.345799999999,4878.2535,4777.4114,4618.2762,4706.4613,5443.0325,5619.6055,5800.582600000001,5890.092100000001,5955.6513,6000.584699999999,6096.3674,6129.6457,6122.9849,5779.6157,5384.79,5341.1930999999995,5293.6248,5230.3559,5115.834699999999,4995.4959,4962.1473,4805.530199999999,4649.9504,4177.9526,4686.7098,4746.3444,4775.419800000001,4502.479899999999,3084.9505,2804.4365,2872.9402999999998,3010.8041999999996,2737.7562000000003,2738.2513,2785.9003000000002,2770.1037,2864.7358,2797.1122,,
Emissions|N2O|Land|+|Agriculture,8,AFOLU N₂O Emissions,PRIMAPhist,https://doi.org/10.5880/PIK.2017.001,historical,Mt N2O/yr,3.7306,3.9608,4.0683,4.1588,4.2556,4.3952,4.5633,4.6979,4.7959,4.8697,5.0932,5.023199999999999,5.276300000000001,5.3572999999999995,5.2971,5.5246,5.642099999999999,5.7566,5.8819,6.0549,6.2036,6.1529,6.377800000000001,6.4611,6.3697,6.3792,6.5084,6.7656,6.6036,6.6882,6.3036,6.2495,6.1949000000000005,6.1175999999999995,6.2535,6.4385,6.5039,6.5017,6.7055,6.599900000000001,6.558000000000001,6.5773,6.6281,6.8154,7.0604000000000005,6.9865,7.1386,7.2838,7.403600000000001,7.4842,7.6381,7.6985,7.7721,7.7683,7.8628,8.053899999999999,,